Faster Pussy cat,Silent Night
S'Express,Funky Killer
Nils Landgren & Johan Norberg,Get Here
Eastern Lane,Bedful Of Leaves
Ny Rel-X,She's Got a Gun
Enos McLeod,Black Dub
Armin Van Buuren Feat. Justine Suissa,Burned With Desire (Rising Star Remix)
At The Drive-In,Proxima Centauri
Chancho En Piedra,De Amarillo y Gris
Chaotic Dischord,Glue Accident
Wim Soutaer,Goud
Carl Belew,Wishful Thinking
Messiah,Musica Pal Ghetto
MC Eiht,Caution
Conor Oberst,Valle Místico (Ruben's Song)
Edward Johnson,Andrea Chénier - Acte 3 - Si_ fui soldato (Giordano)
Orange Goblin,Land Of Secret Dreams
Cristy Lane,Ave Maria (One Day At A Time 1&2  Album Version)
Bone Thugs-N-Harmony,Universe (Explicit Album Version)
Oak Ridge Boys,The Old Country Church
Ben Etheridge,Motion Sickness
Memphis Sheiks,Don't Feel Like Talkin' Today
John Lewis,Afternoon In Paris
Gift of Gab,Dreamin' (feat. Del The Funky Homosapien & Brother Ali)
Stargarden,Bounced
Hackneyed,Burn&
Sam Sharp,Deep
Prins Thomas,Sauerkraut
Mark Mothersbaugh,First Volley
John Mooney,Shout Sister Shout
Fontella Bass,Leaning on the Everlasting Arms
Hank Williams / The Drifting Cowboys,Your Cheatin' Heart
Taj Mahal,Everybody Is Somebody (Album Version)
Mississippi Fred McDowell,Black Minnie
Martin Denny,Bamboo Lullaby
Satan's Pilgrims,If You Wanna
Rosendo,Vaya Ejemplar De Primavera (Version 2004)
Slum Village,Up (Produced by B.R. Gunna)
Mac Dre,My Life Is A Movie (feat. Messy Marv)
Cold,No One
Straight Flush,Shes Got That Light
Rory Gallagher,Wayward Child
Now It's Overhead,Goodbye Highway (Album Version)
U-Roy,Natty Rebel
Vaya Con Dios,Remember
Luis Alberto Spinetta,Será Que La Canción Llegó Hasta El Sol
Flatt & Scruggs,Workin' It Out
Ron Carter_ Cedar Walton Duo,My Funny Valentine
The End,Dreamworld
Gondwana,Mi Princesa
Vinicio Capossela,Decervellamento
Superbutt,Cheer The Leash
Wildchild,Fresh Air
Dinah Shore,Body and Soul
D-Shot,Grindin'
John Denver,The Mountain Song
J.J. Barnes,Real Humdinger
Jupiter Sunrise,Casey
Robertinho Silva,Falange Dos Tambores
Moss,A Twist In My Tourniquet
Carpark North,Just Human
Los Palominos,Te Prometo
Skank,O Beijo E A Reza
The First Class,Surfer Queen
Kiln,Ghost
Baby Bash / Low G.,Don't Disrespect My Mind
Tina Britt,God Bless The Child
Baaba Maal,Leydi - Ma
La Mosca Tse-Tse,En La Mira De Un Buen Tirador
Paralisis Permanente,Autosuficiencia (con Javier Benavente)
Haircut 100,Baked Bean
Million Stylez,All Night
Joe Lovano,You're A Weaver Of Dreams
The Techniques,I'm So In Love With You
Yonder Mountain String Band,Behold_ The Rock Of Ages
Pretenders,Let's Make A Pact
Alain Souchon,Le Baiser
Ja-Man All Stars,Big Spliff
Julie London,A Taste Of Honey
MU330,Raw Fish
Robert Nickson feat. Elsa Hill,Never Again
Youves,Bigorexic
Dale Watson and His Lone Stars,Charlie Our Shoeshine Man
Gorillaz,Latin Simone (Que Pasa Contigo)
Back Off Cupids,Meek Inherits Space
Alain Goraguer,Amanda
Frank Marino & Mahogany Rush,Norwegian Wood (This Bird Has Flown)
Frank Black,Kicked In The Taco
Don Williams,Time On My Hands
Janez Detd,Killing Me (Unplugged)
Kristine W,Love is the Look (Deepswing Classic Vocal)
Dust of Basement,Trust
Brian Hyland,Baby I Feel Good With You
The Wildhearts,The New Flesh
Jan Garbarek_ Bill Frisell_ Eberhard Weber_ Michael DiPasqua,Spor
Chromeo,Needy Girl
The Duskfall,Some More Sin On My Burden
Shelleyan Orphan,I'm Glad You Didn't Jump Out Of The Car That Day
Swell Maps,Ampitheatres
Jeremy Camp and Adie Camp,It Is Well (With My Soul) ((feat. Adie Camp) Medium Key-Premiere Performance Plus w/ Background Vocals)
Manfred Mann's Earth Band,Blinded By The Light
Chet Atkins,Don't Cry
Tenacious D,Fuck Her Gently
Rummage,Grandeur
Don Gibson,Waitin' Down the Road
Charly García,Ojos De Video Tape
Emiliana Torrini,Snow
Danielle Bollinger,When the Broken Hearted Love Again
Knut Værnes Band,Roneo
Terror,Nothing To Lose
Natalie,Carry On
Maximum Penalty,Don't Lie To Yourself
The Weathermen,D_ D And D
Josélito,Doce cascabeles
Dave Evans & Thunderstruck,Rock N Roll Singer
Desireless_ Mic-éco,Il est fragile
Domine,True Leader Of Men
Intricate Minds,Wax Caper
Betül Demir,Balkaram
3 Cold Men,Crossing Waters
Kingspade,Havin Fun
Rogue's March,Shut Up & Drink (from "Never Fear")
The Steepwater Band,Dharmakaya (album)
Salty Dog,Ain't Nobody's Business
Mahay,Gimnastica / Gym
Elf Power,Circular Malevolence
Felix Da House Cat,Do Me What I Do
Till Von Sein,Ovas
Pedro Guerra,Sirinoque
Sylvia Telles,A Felicidade (2006 Digital Remaster)
Old Town School of Folk Music,Three Little Ducks
Frank Lenz,Libertution
Su ta gar,Arranoa eta quetzala
Niña Pastori,Otro Camino
The Capstan Shafts,American Volume
Beat Dominator,Shake Your Body (Body Dubble Dub)
The Enemy,This Song Is About You
Sopor Aeternus & The Ensemble Of Shadows,The Skeletal Garden
Close Shave,Rollin' On
Jo-El Sonnier,The Back Door
Poonanny,Hole In Your Drawers
Nobuo Uematsu,Thumbs Up!
The Fugs,I Want To Know (2006 Remastered Album Version)
Steve Cradock,Kundalini's Target
Ednita Nazario,Quiero Que Me Hagas El Amor
Ignition Technician,Messy (Work that Shit)
Wayne Carter,Wahoo_ Wahoo_ Wahoo
the feelers,emotional allstar (Album Version) [york street full mix]
G.C. Cameron,Act Like A Shotgun
Buck-O-Nine,Wrong Em Boyo
Wet Wet Wet,All I Want
Simply Red,Stay
Pathfinder,Auld lang syne
Jannick Top,Part IV
The Jason Bonham Band,The Unknown
The Presidents of the United States of America,Japan
The Smithereens,Maria Elena
Cindy Morgan,Painted A Rainbow (Album Version)
Shunza,Don't Know Why
Potluck,She Don't Wanna F*CK Wit Me (feat. Big Krizz Kaliko)
Blue Rodeo,Summer Girls
Sayag Jazz Machine,Ali Goes On! (Goes On Craz Mix)
Blue States,Arion
Klément Julienne,Mannix
Keba,Kesä Espalla
KMC Feat. Dhany,Somebody To Touch Me 
La Barbería Del Sur,Mar De Luz
Charlie Sexton & The Mystic Knights Of The Sea,You're Doin' It Too Hard
20 Minute Loop,5 AM To 9 AM
MC Mabon,Tosser O'r Radd Flaenaf
Terry Callier,Coyote Moon
Johannes Linstead,Cielo Azul
Coal Chamber,My Mercy (Album Version)
David Houston,When They Ring Those Golden Bells
Allen Hoist,All Ido
Mr. Vegas,Deh Pon The Scene (Album Version)
Don't Mess With Texas,God Might Want To Change His Mind
Fritz Wunderlich;Alois Melichar,Eine Nacht in Venedig/Treu sein_ das liegt mir nicht
Michael Crawford,Now The Day Is Over (LP Version)
Todd Bodine & Ludwig Coenen,Flussbett
Planet P Project,Believe It (Album Version)
Teenage Bottlerocket,Fall For Me
The Japonize Elephants,Rat's Ass
Ricky Martin,Susana
Nancy Kerr & James Fagan,Lads of Alnwick
Guru,What's My Life?
7th Heaven,Music (Radio Edit)
Underoath,Casting Such A Thin Shadow
Pro Arte Orchestra Of London / Michael Davis / Alexandre Desplat,Colours in the Clouds
The Bachelors,I Believe - Re-Recording (by Original Artist)
Enya,And Winter Came (Album)
The Klezmatics,Mizmor shir lehanef (Reefer Song)
Tommy Dorsey,Opus One
Abdul Majeed Abdullah,Sheikh Abdullah
Max Morath,Palm Leaf Rag-A Slow Drag
Jack Peñate,Tonight's Today (Extended Mix)
Bobby Hutcherson,Spring Is Here
Lupino Lane,The Lambeth Walk
Pat Metheny/Brad Mehldau,Long Before
The Telescopes,Celestial
Perfect Stranger,Sweet Water Dolphin
The Clovers,Drive It Home
John Novacek,Mozart: Fantasy in D Minor_ K.397
Multiphase,Kaleidoscope
Easy Star All-Stars,Money (featuring Gary "Nesta" Pine & Dollarman)
Some Velvet Morning,Losing My Mind
Glass Tiger,Closer To You
Westlife,Loneliness Knows Me By Name
Jennifer Lang,Just a Raginn Fury (remix)
Alberto Plaza/Jorge Rojas,Sentencia (acústico)
Albin Myers,Times Like These
Maxi Priest,Problems
Bill Whelan,Kinsale
Full Flava,Rescue Me (Taste Of Flava Remix) (feat Hazel Fernandes)
Taylor Deupree,Mapping
Peter & The Test Tube Babies,Who The Hell Is Jolly-
Guillaume Ledent,25 à 35 ans
Commander Cody,Lone Ranger
Sandro,Las Manos
Rogue's March,Behind My Back (from "Chaser")
David Gilmour,Cruise (2006 Digital Remaster)
Magtens Korridorer,Ring Af Ild
Jacques Offenbach,Helas Comme Ils S'Appretentperichole Act1
Catamenia,Passing Moment Of Twilight Time
Lori McKenna,Confetti (Album Version)
Bunji Garlin,Interlude (the Vibes)
Roxy Music,2HB
Pohlmann.,Was Geschieht
Dr. Calypso,Slow Boat To Trinidad
Lorez Alexandria,No More
DESPERADO,The Day Emo Died
Arrogant Worms,Drink With Me
The Kung Fu Girls,Wanna Be With You
Mentors,Every Human's Gotta Have Sex
The Machine,Spirits
Anjellee,My Boo (none)
Tommy James & The Shondells,Mony Mony (LP Version)
Béla Fleck and the Flecktones,Scratch & Sniff
Jimmy Page / Robert Plant,City Don't Cry
The Scaramanga Six,Soul Destroyer
Kol Simcha,Folk Song
Stefan Tretau,EqF Kid
Lisa Germano,In The Maybe World
Klaus Lage Band,Tief Verwundet
Stigmata,No regrets
Whitecross,Seein' Is Believin'
Trio Of Doom,Are You The One? Are You The One?
Edo Maajka,Tu Sam Ja
Mike Dunn presents The MD X-Spress,God Made Me Phunky [Izmabad Vox]
Khujo Goodie,Pimpz and Hoez
PFM,Bandiera Bianca
Lil Wayne / Kevin Rudolf,One Way Trip
Jeckyll & Hyde,Freefall
Brutal Knights,Government Is Asshole
Downchild,Mr. Confused
Ohm Square,Patriotic Interlude
Fra Lippo Lippi,Recession
Portugal. The Man,Everyone is Golden (Acoustic)
Wendo Kolosoy,Mama alobi
Speech Defect,Happy Hunting Feat. The Pharcyde
DMX Krew,Memory Theme
Lazy Rich,A-OK
Scars Of Tomorrow,The Face Of Fear (Album Version)
Alphaville,Carol Masters
The Swell Season,Leave (Live)
Ronnie Milsap,The Lord's Prayer
Goofy,Pandora (Remix Ver.)
Tuck & Patti,Joy Spring
Ivan Moravec,B major_ Op. 32_ n? 1
Winterborn,The King And The God
Amber,He
Kingston Wall,When Something Old Dies
The Ritchie Family,Amazing Grace / Sweet Rivers of Redeeming Love (medley)
Little Brother,Sincerely Yours (Explicit Version)
HTRK,Suitcase
English Chamber Orchestra/Daniel Barenboim,Symphony No. 39 in E flat K543 (1990 Digital Remaster): I.       Adagio - Allegro
DESTRUCTION,L.ast Desperate Scream
La Dama Se Esconde,La Tierra De Los Sueños
Xutos & Pontapés,O Mundo ao Contrário
Bobby Darin,The Breaking Point
George Dalaras,Irth' O Himonas (2003 Digital Remaster)
James Reipas,Trouble in Reipasland
The Florida Boys,Battle Hymn of the Republic
Morcheeba,Baby Sitar (Drummer Of Your Dreams Mix)
Joanie Sommers,I Feel A Song Comin' On (Live at San Fernando Valley State_ Northridge_ CA December 9_ 1961)
Brian Sanhaji,v 1.0.0 BETA
Who's Your Favorite Son God,Don't Tell Mom The Babysitter's Dad
Girlboy Girl,Trying
Ariel Rot,Nena (The Rota 1997)
I Was A King,Breathe
Bachman-Turner Overdrive,Jamaica
Outolintu,Shizzlin da virable
Lordz Of Brooklyn,American Made
Lowell Fulson,Cold Hearted Moma
Discanto,a'llampata ra grutta
La Habitacion Roja,Requiem
Scottish Chamber Orchestra,Pastorale
kuniaki takenaga,Centrals Revirth
Keith Jarrett,Spirits 15
Turn Pale,Sycophant
Chuck Willis,Keep A Knockin'
Demis Roussos,Forever And Ever
South Froggies,South Outro
The Intelligence,Entertainment Centers
Boozoo Chavis,Bernadette (LP Version)
Soundisciples,Reject
Cows,Shaking
Larry Stephenson,You'll See Jesus
Marlene,See It Deh
Dead Kennedys,Cesspools In Eden
James Taylor,Santa Claus Is Coming To Town
Halestorm,Dirty Work (Album Version)
Bobby Vinton,L-O-N-E-L-Y
Maino,Kill You (Amended Album Version)
Dave Grusin / Lee Ritenour / Paulinho Costa / Dave Grusin / Jimmy Johnson / Lee Ritenour / Carlos Vega,San Ysidro
Das Dritte Ohr,Heaven Or Hell
Pedro Aznar,No Me Cuentes Tu Historia
Jules Shear,I Want To Fall (Album Version)
Ekkohaus,Sink With Me In The Love Tube
Hymie's Basement,You Die
Fugees,Don't Cry Dry Your Eyes
Aimee Mann,Save Me (Album Version)
Echo Is Your Love,Haste Nowhere
This Moment In Black History,Precinct
Le Vangle,Printemps Malin
The Paco De Lucia Sextet,Palenque
Yvonne Catterfeld,Sag mir - was meinst du?
Galliano,What Colour Our Flag
Mandingo,Tiger In The Night (1999 Digital Remaster)
Bebo Valdes,La Comparsa
Kuba,Road To Find Out
He-Lium,Winnetka
Cañaman,Dub La Cara
Mississippi Mass Choir,It Wasn't the Nails
Thinking Plague,Rapture Of The Deep (For Leslie)
Sheena Easton,Swear (1993 Digital Remaster)
Dons,Mr. Greene
Dayton,So Glad (2004 Digital Remaster)
Sparks,Gratuitous Sax
Johnny Gill,Never Know Love
Shadows Fall,Still I Rise
K-Mob,Fistful Of Satisfaction
The Meters,People Say (Single Version)
Yuri Yunakov Ensemble,Zulta Kitka
Chromeo,Rage!
Frank Serious,Fragment
Craig G,Craftsmanship
Grupo Mania,Magia
Chieko Kinbara,Todo Vai Mudar (A Hunderd Birds Remix)
Gibonni,`TA CE MENI MOJA DICA REC
Los Tiki Phantoms,La marcha de las Calaveras
Maria Daniela Y Su Sonido Lasser,Miedo
Parallel Worlds,Pale Yellow Sky
Lunik,Virtual Shadows
Kish Mauve,Lose Control
Kris Kross,It Don't Stop (Hip Hop Classic_
Andy Fairweather-Low,Spider Jiving (Album Version)
LCD Soundsystem,Too Much Love
Dennis Brown & Prince Mohammed,How Can I Leave You aka How Could I Live/ Bubbling Love (Album)
Eddie Boyd,I Can Trust My Baby
Italian Instabile Orchestra,L'Arte Mistica Del Vasaio [Il Maestro Muratore]
Bottom Line,Rest Of Your Life
Skeletons And The Kings Of All Cities,Like It Or Not
Cliff Richard,It's Only Me You've Left Behind (2001 Digital Remaster)
There For Tomorrow,Ice Box (Omarion cover)
Jamal,Afro
Patrick Bruel,Au Café des Délices
DJ Lambda feat. Euphoria vs. Solar Explosion,Heaven - Original Mix
Monstrosity,Ceremonial Void
Georgie Fame & The Blue Flames,I Love The Life I Live
Liquid_ Liquid,Bell Head
Julien Lourau,Hulio's Blues
George Jones,Don't You Ever Get Tired (Of Hurting Me)
Laruso,Overture
Blingtones,All These Girls Callin My Cell
Sunfreakz featuring Andrea Britton,Counting Down The Days (DT8 Project Remix)
Bob Newhart,On Poodles And Planes ( LP Version )
King Orgasmus One,Die Welt Dreht Sich Um Uns
Miguel Calo,Union Civica
The Bronx Horns,Sister Sadie
Alphaville,Kinetic
Sendos Fuera,Dreams In Side Me
Sprinkler,Landlord (Album)
The Greenhornes,Shadow Of Grief
Dorian,Ruyadan
The Monsters,I Kiss You Dead 
Sole,Slow_ Cold Drops
Lucky Loop,Malele
Tearjerkers,Teeny Weeny Little Bit
Aterciopelados,No Necesito
Skeeter Davis,(I Can't Help You) I'm Falling Too
Iambia,Phantasm
Organic Grooves,Banal Reality
Tiles,Forging A Newer Trend (bonustrack)
John Tesh,I Will Not Forget You
Nelson Ned,Si Las Flores Pudieran Hablar
Scanner,Remote
Tantric,Wishing (Live-Acoustic)
Blaze,Better Days
Marlene Dietrich,I Can't Give You Anything But Love
Lesley Gore,Judy's Turn To Cry
Mardi Gras.BB,Moto Boat
Yazz / The Plastic Population,The Only Way Is Up
Mögel,Harry (Live)
Los Muñequitos De Matanzas,Vale todo
Dirty Pretty Things,Gin & Milk
Julien Clerc,Laissons Entrer Le Soleil
Elmo Williams & Hezekiah Early,Mother's Dead
Roky Erickson and The Explosives,Bloody Hammer (Live)
Candie Hank,To Russia With Love
Christian Smith_ John Selway,Work It
Takács Quartet,3. Allegro assai vivace ma serioso
Oakhurst,Arkansas River
Sierra Maestra,Juan Andrés
John Michael Montgomery,I Love It All (LP Version)
Fred Neil,Bleecker & MacDougal (LP Version)
Jupiter Rising,Liv The Day (Album)
Missing Persons,Mental Hopscotch
Darryl Worley,Sounds Like Life To Me
Nickelback,Side Of A Bullet (Album Version)
The Charms,Tora makria mou
Jamie Richards,Sideways
Tre Allegri Ragazzi Morti,Francesca ha gli anni che ha
La Costa Brava,Hazte Camarera
Daan Junior,Gade on fanm
Jimmy Durante,You'll Never Walk Alone (Album Version)
The Gathering,Nobody Dares
Seattle Symphony,The Moldau
Lucky Peterson,It's Your Thing
Bobby Sherman,Blue Christmas
Robert Forster,On A Street Corner
Faze Action,Stratus Energy
Big & Rich,Leap Of Faith (Album Version)
Beth Nielsen Chapman,The Reason
Orion,Rooster
Mia X,RIP Jil
Yab Yum vs Electrypnose,Freeze File
Stefanie Heinzmann,Don't Call This Love
The Hidden Cameras,Colour Of A Man
The Cranberries,Saving Grace
Boy Hits Car,Escape The World (Album)
The Duke Spirit,Bottom Of The Sea
Enslaved,Ruun
Steven Russell,Bring It Back
Little Brother,Hiding Place (Amended Version)
Kenny Wayne Shepherd Band,One Foot On The Path (Album Version)
Ashley MacIsaac,King George IV / King George V / Old King's Reel / King's Reel / Traditional Reel
Psyclon Nine,Suicide Note Lullaby
Jawat,Duidelijk
Mr. Airplane Man,House of Bones
Sound Team,Feeling Of Wonder
Beowülf,Winer Diner
Camaron De La Isla,Sere... Serenito
Jan & Dean,Baby Talk
Anna Oxygen,Spectacle
Cannonball Adderley Quintet,Why (Am I Treated So Bad) (Live) (Edit)
Kailash Kher,Albela Saajan 
Belvedere,Todd
Samira,It's Still Raining
Phylum Sinter,Before The Sun Blinds Us (feat. Tamara Finlay)
Screamfeeder,Hello There
Dan Bern,Wasteland
Swallow The Sun,Weight of the Dead
The Ataris,All You Can Ever Learn is What You Already Know
La Rue Ketanou,80 tours de la terre
Alison Krauss / Union Station,Little Liza Jane
Crazy Town,Revolving Door
David Archuleta,Don't Let Go
Evbointh,Black Stones
Patti Smith,Going Under
Ike Reilly,Cash Is King (Solo)
Factums,Gold
Crux,Swallowed Up With Life
Creedence Clearwater Revisited,Long as I can see the light
Zap Mama,Gati
Cuco Sánchez,Pajarillo De La Sierra
Oliver Rohrbeck,Shutter Island Kap. 12
Jinx,TAKO TAKO
Bert Jansch / John Renbourn,Tic-Tocative
Psychopomps,Daddy's Girl
Manu Dibango,Ni Toi Ni Moi
Everton Blender,World In Need
Mike Bloomfield,Lo. Thou I Am With Thee
David Blue,Ambitious Anna (LP Version)
Virtue,He's Been Good
The Clientele,Impossible
The Gits,King and Queens
Jo Stafford,Simply Melody
Joni Mitchell,Love Or Money (Live LP Version)
John Sawyer,Handy Man
Luther Barnes_ The Red Budd Gospel Choir,You Just Hold On
Kajagoogoo,White Feathers (Manhattan Clique Remix Edit)
Miguel Mateos - Zas,Información Confidencial
La Fouine,Feu Rouge
Slapshot,How Much Can I Take
John Stevens,Stalking The Corpse
P!nk Featuring Indigo Girls,Dear Mr. President Featuring Indigo Girls
LANDA DANIEL,ZTRACENI HOSI
Dido,Quiet Times
Attack Formation,I'm Buried Alive
Mani Spinx,Comin' Back
The Mermen,The Intractable Boy (LP Version)
Johnny & the Hurricanes,Kaw-Liga
Robin Trower,Rock Me Baby (Live) (2008 Digital Remaster)
Commander Cody & His Lost Planet Airmen,What's The Matter Now
Gillian Welch,I'm Not Afraid To Die
RODNEY CROWELL,Funky And The Farm Boy
Sheena Easton,So Far So Good (Digitally Remastered '93)
Count Basie,Beau Brummel
Roma 79,4MO1
Graeme Revell,Believe In Angels
Nanci Griffith,I Still Miss Someone (LP Version)
Johnny Moore,I Want You To Know (STUDIO)
Entombed,Shreds Of Flesh
The Stapler,Staple Hammer
Christophe Willem,Walk Away (en duo avec Skye)
Michelle Tumes,Rest My Soul  (Listen Album Version)
Nichol's,Je T'adore
Open Season,Coffee To Go
Xi,Chemical Brain
Alain Turban,Mamie
Filewile,Lunch
Galactic,Bounce Baby
The Killers,Everything Will Be Alright
Saigon Kick,Close To You (2006 Remastered LP Version)
Manuellsen Feat. Inessa,Hör Nie Auf
Funkadelic,One Nation Under A Groove - Original
Denison Witmer,Farther On
Eyehategod,Godsong
Theodor Bastard,Albor (Bonus!_ Dortmund_ Germany_ 2005)
BBE,7 Days And One Week (Tomcraft Remix)
Westernhagen (WEA),Der Typ Auf Zelle Nr. 10 (Remastered)
Mark Eitzel,Three Inches Of Wall (Album Version)
Jennifer Hudson featuring Fantasia,I'm His Only Woman
Dragons Of Zynth,Labor Day Lung
Wires On Fire,Swordfish
Despina Vandi,Kane Me Na Lioso
Seal,Amazing
BoDeans,Crazy (Live)
General Magic,In Kupplung Minidursten
The Cinematics,Wish (When The Banks Collapse)
Japanische Kampfhörspiele,Fertigmensch
Cardopusher,Toothsmasher
Rosemary Clooney,Ay Ay
Adolf & The Piss Artists,(They'll Give You) No Control (Album Version)
Pugslee Atomz,Dee Tee's
Fernanda Porto,Saudade Do Que Não Tive
Colder,Anyway
The Jim Jones Revue,512
Rihanna,SOS
Hot Wire,Perfect (Tribute To Fairground Attraction)
Legacy Five,I Need Thee
Cilla Black,From Now On
Bob James,Under Me (Album Version)
Sheryl Crow,Am I Getting Through (Part 1 & 2)
Richmond Fontaine,Incident At Conklin Creek
Hollow Tip,Still a Boss (feat. Tykoon)
New London Fire,Someone Like You
Hank Williams,A Mansion On The Hill
Boots Randolph,It Keeps Right On A-Hurtin'
Lone Star Ridaz,All My Nggz
The Yardbirds,Hot House Of Omagararshid (Alternate Take)
Denyo 77,Was Nun
Counting Crows / Vanessa Carlton,Big Yellow Taxi
Tito El Bambino,Solo Dime Que Si
Smokie Norful,Were You There?
David Palmer,Johnny Guitar
Kevin Moore,Cowbloke
The Fairfield Four,All The Way
Moderatto,Si Mi Delito Es Rockear (Live Version)
Nico Wayne Toussaint,I Can't Stop Playing the Blues
I Hate Sally,Anna's Empty Conscious For The Blessed
Frankie Negron,Otro Intento
Hostage,Do It (DJ Simple Rmx)
